sha256	archive	filename	version	status	parts	vertices	triangles	textures	blockindex	blocktype	error	seconds	warnings
55f49847dd12537a72778670030923047582aff3441dc99d9ad1c88bb8a7feb5	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Skill02_W_hit.nif	20.0.0.4	OK_GEOMETRY	8	326	460	8				0.030	
c752dcf40817cdd689b27c0fb96653bebe489736800a349b759b1f2d8610c785	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Skill04_W_g.nif	20.0.0.4	OK_GEOMETRY	17	915	1418	17				0.043	
d0045372f224849d059172510b5b732e214253312fb25d63d0a201c78f1d1d45	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Skill04_W_hit.nif	20.0.0.4	OK_GEOMETRY	15	1232	1950	15				0.043	
bec9738356b298b7fc22658ca5cdbd11fe1949f2f0a2b287e2d12614840ea975	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Skill04_W_sho.nif	20.0.0.4	OK_GEOMETRY	12	509	946	13				0.039	
d35a36d84d51f642640965cf3cfbe920bd3787a9efab9fabca1d1c829f42ecf3	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Skill05_N_h.nif	20.0.0.4	OK_GEOMETRY	10	62	60	11				0.027	
01c338300976d3dd62e82333306e9362d59bd0d1b8bd9616cfc694bc7195ca44	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Skill05_N_g.nif	20.0.0.4	OK_GEOMETRY	3	255	384	3				0.031	
8c6fc958d61c6f78e7a92f7979e936c058cbda86acf23555867864f05c6a92fd	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Skill06_N_g.nif	20.0.0.4	OK_GEOMETRY	3	195	288	3				0.032	
14312c70690ff93ed604b66770e2b5677b0ca8961b54090c224c8e73c2f8253c	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Skill03_W_g.nif	20.0.0.4	OK_GEOMETRY	154	2208	3152	154				0.098	
7669fe551009249b03156b20d3617683dbec86b12ebdaf5ca39ccc5d38d7fafe	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Skill06_N_h.nif	20.0.0.4	OK_GEOMETRY	8	32	16	8				0.027	
0b9bc0b7f8b5470f71aadac39bb8a5b0e50cd4ae410fc5c69dcd533483fc9b0e	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Skill07_W_LH.nif	20.0.0.4	OK_GEOMETRY	32	1064	1584	32				0.033	
02593cd46708202b85954ede822efb0a4d93e349de1dd3a692aeed0c109c39ee	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Skill07_W_RH.nif	20.0.0.4	OK_GEOMETRY	18	540	796	18				0.034	
07ccae09113451ab60925430a28b3b4badf0d125578a9653f2326321e7a47995	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Spearman_Attack_Hit.nif	20.0.0.4	OK_GEOMETRY	7	122	138	7				0.020	
d6bf7ab376565999fdffdf306910df0869bd132c1054532dc39bad1460343e1b	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Spearman_Attack_H.nif	20.0.0.4	OK_GEOMETRY	7	100	80	7				0.025	
7b094ca66c6c6d9e8c0c16602c6043037793b27597a7d9a0a14d963ca2f34ed2	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Spearman_Skill01_W_G.nif	20.0.0.4	OK_GEOMETRY	5	234	274	5				0.023	
c2ded4e094ffe2b2243999eb28651ed292cb50484b91708a797a7e564cfbcecb	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Torin_Attack.nif	20.0.0.4	OK_GEOMETRY	2	42	36	2				0.019	
32b0a06446e6299df765a419d151872979f3e1783ffdf45fd95625c623f9b5ca	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Spearman_Skill01_W_H.nif	20.0.0.4	OK_GEOMETRY	9	201	1042	11				0.025	
7c6cb658cb3c19eb4bd645919dce20a0c39a83e81142d7f5ea289925604fc93a	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Spearman_Skill01_W_Hit.nif	20.0.0.4	OK_GEOMETRY	5	166	248	5				0.024	
13faacf3bab6db00c0d04ade17ee88b326e16472b2e945bc83f6f3aeb2cb1d96	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Torin_Hit.nif	20.0.0.4	OK_GEOMETRY	4	16	8	4				0.023	
516ed00ca7061ceae1abf50e183514772f7543eb27d3899519b2e860061d1cf4	D:\SERVER_FIESTA\Client	reseffect\KDFargels_Torin_Skill01_N.nif	20.0.0.4	OK_GEOMETRY	8	164	142	8				0.022	
0279ca80e3f6fb40abb7544b058db4d49808ebd4cce369a5e48b68d76b592a74	D:\SERVER_FIESTA\Client	reseffect\KebingMage_Lasor.nif	20.0.0.4	OK_GEOMETRY	27	280	226	27				0.022	
a0c8e4e4cb6cea162b76de03a0936c8b6f5d12a8471ebebe090c558503af916e	D:\SERVER_FIESTA\Client	reseffect\KebingX_attack.nif	20.0.0.4	OK_GEOMETRY	6	24	12	6				0.019	
d497277f5073dae9c8f96f3770df7b4c818ef0ba62cf7054e2afd1717c063490	D:\SERVER_FIESTA\Client	reseffect\KebingX_run.nif	20.0.0.4	OK_GEOMETRY	1	36	36	0				0.021	
